id,name,x,y,capacity,0:00,0:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
1,River Street  Clerkenwell,531201,182838,18,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,1,0,0,0,0,0,3,8,8,9,10,10,10,11,12,11,8,6,6,3,8,8,10,10,8,7,13,15,15,15,15
2,Phillimore Gardens Kensington,525206,179397,37,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,4,3,5,5,6,6,7,5,5,4,4,5,5,4,4,4,4,6,8,8,5,4,4,5,4,6,7,7,7,7,7,7,7
3,Christopher Street Liverpool Street,532984,182007,30,8,8,8,8,8,8,8,8,8,8,9,9,10,12,14,4,9,19,30,31,31,31,30,23,22,23,23,23,23,22,22,20,16,15,11,8,5,3,4,1,0,0,0,0,0,0,0,0
4,St. Chad's Street King's Cross,530436,182918,21,16,16,14,14,14,14,15,15,15,15,15,15,15,7,18,11,3,0,0,0,0,17,18,18,18,14,16,17,18,18,3,3,5,9,10,14,22,22,21,9,12,10,11,11,10,11,11,11
5,Sedding Street Sloane Square,528049,178748,26,20,20,20,20,20,20,20,20,20,19,19,19,19,19,20,20,24,23,22,22,23,23,21,22,22,21,22,23,24,24,22,22,22,24,24,3,0,2,1,2,3,4,3,3,3,1,3,3
6,Broadcasting House Marylebone,528856,181548,18,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,9,11,15,16,17,17,17,17,15,17,16,16,16,17,11,12,12,3,2,0,2,0,0,0,2,3,4,3,3,1,0,0
7,Charlbert Street St. John's Wood,527157,183306,16,5,5,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,1,0,0,0,0,0,2,6,5,6,4,4,4,4,5,6,7,6,7,10,9,10,13,12,10,11,11,12,14,14,14
8,Lodge Road St. John's Wood,527031,182640,17,12,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,11,10,10,10,10,10,10,10,10,11,12
9,New Globe Walk Bankside,532203,180440,18,8,8,8,8,8,8,8,8,8,8,8,9,9,9,10,10,15,14,16,16,16,16,16,16,14,13,10,7,9,11,10,12,9,7,1,0,4,4,5,2,3,2,2,1,4,4,3,3
10,Park Street Bankside,532463,180290,18,14,14,14,14,14,14,14,14,14,14,15,15,16,17,17,14,15,17,17,17,16,15,15,15,16,15,16,15,16,14,11,9,13,13,10,6,6,4,3,3,5,4,4,4,4,4,4,4
