MON,R,R,R,G,G,R,R,A,G,G,R,G,G,A,R,G,R,R,G,R,R,G,G,R,
TUE,R,R,G,G,G,G,R,G,A,R,G,G,G,R,A,R,A,G,R,R,A,R,G,G,
WED,G,G,R,R,R,G,R,G,A,R,G,R,R,A,R,R,R,R,R,G,R,G,G,R,G
THU,G,G,R,G,G,R,R,R,R,R,G,A,G,G,G,G,R,R,A,R,R,G,G,R,G
FRI,Sick all day in Bed!,,,,,,,,,,,,,,,,,,,,,,,,
SAT,G,A,G,R,R,,,,,,,,,,,,,,,,,,,,
SUN,R,R,G,,,,,,,,,,,,,,,,,,,,,,
MON,A,G,G,G,A,R,A,A,R,R,R,A,G,R,R,A,R,G,R,,,,,,
TUE,A,A,A,G,A,R,A,A,A,G,G,G,A,G,R,G,R,R,G,G,G,G,G,R,G
WED,,,,,,,,,,,,,,,,,,,,,,,,,
THU,R,G,R,G,A,R,G,R,R,A,G,G,G,R,R,R,G,G,G,R,G,,,,
FRI,G,R,R,G,R,G,A,G,G,R,G,R,R,R,R,G,A,G,G,G,R,R,R,R,R
SAT,G,G,A,,,,,,,,,,,,,,,,,,,,,,
SUN,R,R,G,R,G,R,R,,,,,,,,,,,,,,,,,,
MON,A,G,A,G,A,R,G,G,A,G,G,R,A,R,A,G,G,G,G,G,G,R,A,,
TUE,G,R,G,G,G,G,G,G,G,R,R,R,R,G,G,G,A,A,G,G,R,,,,
WED,G,G,R,A,R,R,A,R,A,G,R,G,R,G,G,G,R,G,A,R,A,R,R,G,G
THU,R,G,G,A,R,R,R,G,R,A,G,R,R,G,A,G,G,A,R,R,R,R,G,G,R
FRI,G,R,G,G,R,R,A,R,R,G,G,A,G,A,R,R,A,G,G,G,G,,,,
SAT,G,G,R,A,G,R,R,G,R,G,G,G,A,R,G,R,R,G,G,R,R,A,A,A,G
SUN,R,,,,,,,,,,,,,,,,,,,,,,,,
MON,R,R,A,R,G,R,G,R,G,G,A,R,G,R,A,G,G,G,R,R,G,A,A,A,
TUE,G,R,A,R,R,G,A,R,G,G,R,R,G,G,A,R,G,R,,,,,,,
WED,G,A,G,R,G,R,G,R,G,R,A,G,R,,,,,,,,,,,,
THU,G,R,R,G,R,R,R,R,R,A,G,G,R,G,R,G,G,G,G,R,R,G,R,G,
FRI,G,R,R,A,A,G,G,G,R,A,R,R,R,R,G,G,R,A,G,,,,,,
SAT,A,R,,,,,,,,,,,,,,,,,,,,,,,
SUN,G,G,R,R,,,,,,,,,,,,,,,,,,,,,
